"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,"3PILLAR GLOBAL INC",0,0,1,0,54,8411,VA,FAIRFAX,22033
2022,"3PLAY MEDIA INC",1,0,0,0,54,7422,MA,BOSTON,02114
2022,"3R INFO LLC",1,0,0,0,54,6601,MI,CANTON,48187
2022,"3S BUSINESS CORPORATION",6,0,6,0,54,9464,TX,HOUSTON,77082
2022,"3SHARE INC",0,0,2,0,54,7074,MA,BOSTON,02109
2022,"4 PEAKS BUSINESS SOLUTION LLC",0,0,0,1,54,3239,AZ,PHOENIX,85045
2022,"4 PEAKS BUSINESS SOLUTION LLC",1,0,1,0,54,3239,AZ,PHOENIX,85048
2022,"4-SERV SOLUTIONS, INC.",2,0,0,0,54,1906,MI,WIXOM,48393
2022,"41SQUARE LLC",0,0,1,0,99,6485,VA,ASHBURN,20148
2022,"42 NORTH DENTAL CARE LLC",0,0,1,0,62,9875,MA,WALTHAM,02451
2022,"4A CONSULTING LLC",0,0,2,0,54,0172,MD,"ELLICOTT CITY",21043
2022,"4A SOLUTIONS LLC",1,0,0,0,54,6006,TX,AUSTIN,78759
2022,"4CONSULTING INC",1,0,1,0,54,9552,TX,RICHARDSON,75080
2022,"4D SYSTEMS LLC",2,0,0,0,54,2589,MI,FLINT,48507
2022,"4M CAPITAL LTD D/B/A ARTERIORS HOM",0,0,1,0,54,7834,TX,"THE COLONY",75056
2022,"4WEALTH FINANCIAL GROUP LLC",0,0,1,0,54,8535,IL,WILLOWBROOK,60527
2022,"6 RIVER SYSTEMS LLC",0,0,5,0,51,6724,MA,WALTHAM,02452
2022,"6BLU INC.",1,0,0,0,54,1307,CA,"CITY OF INDUSTRY",91746
2022,"6COM, INC.",0,0,1,0,54,1629,NJ,PISCATAWAY,08854
2022,"6SENSE INSIGHTS INC",1,0,5,0,51,7906,CA,"SAN FRANCISCO",94105
2022,"7 ELEVEN INC",2,0,20,0,44,5131,TX,IRVING,75063
2022,"75 BURNSIDE DRUG SURGICAL INC",0,0,1,0,44,9979,NY,BRONX,10453
2022,"776 MGT LLC DBA SEVEN SEVEN SIX",0,0,1,0,52,8310,FL,JUPITER,33458
2022,"777 PARTNERS LLC",0,0,2,0,55,2656,FL,MIAMI,33131
2022,"7CINFO COM INC",2,0,0,0,54,8168,ND,FARGO,58103
2022,"7CINFO COM INC",0,1,0,0,54,8168,ND,"WEST FARGO",58078
2022,"7TH ONLINE INC",0,0,1,0,54,9952,NY,"NEW YORK",10018
2022,"8 MINUTE SOLAR ENERGY LLC",0,0,1,0,23,4910,CA,"EL DORADO HILLS",95762
2022,"84 51 LLC",0,0,5,0,54,2871,OH,CINCINNATI,45202
2022,"88RISING INC",1,0,0,0,71,0631,CA,"LOS ANGELES",90038
2022,"8X8 INC",0,0,1,0,51,2404,CA,CAMPBELL,95008
2022,"98POINT6 INC",0,0,1,0,54,0194,WA,SEATTLE,98104
2022,"9EDGE INC",0,0,1,0,54,6205,CA,"SANTA ANA",92707
2022,"9LOGIC TECHNOLOGIES INC",5,0,3,0,54,1040,WA,REDMOND,98052
2022,"9M SOLUTIONS INC",1,0,2,0,54,4057,NC,CHARLOTTE,28217
2022,"9THNETWORKS INC",0,0,1,0,54,4220,NH,SOMERSWORTH,03878
2022,"9TO9 SOFTWARE SOLUTIONS LLC",0,0,2,0,54,6747,CT,"EAST BERLIN",06023
2022,"A & B ENVIRONMENTAL SERVICES INC",2,0,2,0,54,1001,TX,HOUSTON,77029
2022,"A & C TRADE CONSULTANTS, INC.",1,0,0,0,42,1158,CA,BURLINGAME,94010
2022,"A A ANDERSON & CO INC DBA ANDERSON",1,0,0,0,54,7863,WI,BROOKFIELD,53045
2022,"A CAP SERVICES LLC",0,0,1,0,52,7163,NY,"NEW YORK",10010
2022,"A CHEMTEK INC",0,0,1,0,54,2636,MA,WORCESTER,01606
2022,"A FODERA & SON INC DBA FODERA FOOD",1,0,0,0,42,8006,NY,CORONA,11368
2022,"A G RHODES HOME COBB IN CD/B/A A G",1,0,0,0,62,5826,GA,ATLANTA,30329
2022,"A J CONSULTING ENGRG SERVICES PC",0,0,1,0,54,6624,NJ,CLIFTON,07012
2022,"A MAX INSURANCE SERVICES INC",0,0,1,0,54,5276,TX,DALLAS,75247
2022,"A MORTON THOMAS & ASSOCIATES INC",0,0,1,0,54,8302,MD,ROCKVILLE,20850
2022,"A O SMITH CORPORATION",0,0,1,0,33,9790,WI,MILWAUKEE,53224
2022,"A P VENTURES LLC",0,0,1,0,54,2519,MD,COLUMBIA,21046
2022,"A PLACE FOR MOM INC",0,0,1,0,62,9153,WA,SEATTLE,98104
2022,"A R T ADVISORS LLC",0,0,1,0,52,6796,NY,"NEW YORK",10005
2022,"A SQUARE GROUP LLC",0,0,2,0,54,4429,MD,FREDERICK,21704
2022,"A SQUARED BUS & CONSULTING LLC",1,0,0,0,54,4396,OH,SPRINGBORO,45066
2022,"A TO BE USA LLC",0,0,2,0,33,2012,IL,"DOWNERS GROVE",60515
2022,"A U VISTA INC",1,0,0,0,33,9171,CA,IRVINE,92618
2022,"A W AND S CONSTRUCTION CO INC",0,0,1,0,23,1650,NY,"NEW YORK",10017
2022,"A&A INFOSYSTEMS INC",0,0,2,0,54,1678,TX,IRVING,75039
2022,"A&R CONSTRUCTION MGMT & DEVELOPMEN",0,0,1,0,72,9421,AL,"GULF SHORES",36542
2022,"A&R CONSTRUCTION MGMT & DEVELOPMEN",1,0,0,0,23,9421,AL,"GULF SHORES",36542
2022,"A-LIGN COMPLIANCE AND SECURITY INC",0,0,1,0,54,5399,FL,TAMPA,33602
2022,"A-TEK INC",0,0,1,0,54,3662,VA,"MC LEAN",22102
2022,"A.T. STILL UNIV OF HEALTH SCIENCES",1,0,0,0,61,6250,MO,KIRKSVILLE,63501
2022,"A1 REHAB & RECRUITMENT SERVICES",1,0,0,0,62,8063,CA,FAIRFIELD,94534
2022,"A1 WHOLESALE SUPPLY LLC",2,0,0,0,42,8344,GA,TUCKER,30084
2022,"A10 NETWORKS INC",2,0,4,1,54,6869,CA,"SAN JOSE",95131
2022,"A123 SYSTEMS LLC",2,0,2,0,33,4405,MI,NOVI,48377
2022,"A4 MEDIA LLC",0,0,1,0,51,8348,NY,"LONG ISLAND CITY",11101
2022,"A9 COM INC",0,0,2,0,45,7176,WA,SEATTLE,98121
2022,"AA SOLUTIONS INC",0,1,0,0,54,3625,TX,"SUGAR LAND",77479
2022,"AA TECH GROUP LLC",3,0,2,0,54,4584,CO,PARKER,80134
2022,"AAA CAPITAL INVESTMENT INC",0,0,0,1,52,2314,CA,ALHAMBRA,91801
2022,"AAA LIFE INSURANCE COMPANY",0,0,1,0,52,1929,MI,LIVONIA,48152
2022,"AAA TEXAS LLC",0,0,2,0,56,4740,CA,"COSTA MESA",92626
2022,"AAA VIRGINIA CONSULTING INC",3,0,1,0,54,5860,VA,LEESBURG,20176
2022,"AABACO SMALL BUSINESS LLC",0,0,1,0,51,9723,NJ,"BASKING RIDGE",07920
2022,"AACE PHARMACEUTICALS INC",0,0,1,0,32,6016,NJ,FAIRFIELD,07004
2022,"AADG INC D/B/A CECO DOOR PRODUCTS",0,0,2,0,33,5179,TN,MILAN,38358
2022,"AADHICK SOLUTIONS INC",1,0,0,0,54,6042,NJ,PISCATAWAY,08854
2022,"AAFCPAS INC",0,0,1,0,54,1780,MA,WESTBOROUGH,01581
2022,"AAJ COMPUTER SERVICES INC DBA OZ",0,0,1,0,54,2524,FL,"FORT LAUDERDALE",33309
2022,"AAPG LLC DBA FOOTBALL FACTORY",1,0,0,0,61,3621,WV,"SOUTH CHARLESTON",25303
2022,"AARAV SOLUTIONS INC",1,0,0,0,54,4282,NJ,ISELIN,08830
2022,"AARC ENVIRONMENTAL INC",0,0,1,0,54,0323,TX,HOUSTON,77042
2022,"AARETECH LLC DBA AARETE TECH SVCS",0,0,1,0,54,1628,VA,VIENNA,22182
2022,"AARKISH PHARMACEUTICALS NJ INC",0,0,1,0,32,1886,NJ,FAIRFIELD,07004
2022,"AARNA PRIYA INC",1,0,0,0,51,0067,VA,HERNDON,20171
2022,AARP,0,0,1,0,81,5500,DC,WASHINGTON,20049
2022,"AAS SERVICES LLC DBA AMERICAN AUTO",0,0,1,0,52,5053,CO,LAKEWOOD,80401
2022,"AAXIS GROUP CORP",0,0,1,0,54,6463,CA,"LOS ANGELES",90067
2022,"AB ENERGY USA LLC",1,0,0,0,54,4893,NJ,"PINE BROOK",07058
2022,"AB SCIEX LLC D/B/A SCIEX",0,0,2,0,33,2047,MA,FRAMINGHAM,01701
2022,"AB TECHNOLOGIES INC",4,0,2,0,54,9220,IL,LIBERTYVILLE,60048
2022,"AB2 CONSULTING INC",1,0,2,0,54,1515,IL,PALATINE,60067
2022,"ABAB SOLUTIONS INC",0,0,1,0,54,3181,MI,NOVI,48375
2022,"ABAL TECHNOLOGIES INC",0,0,4,0,54,6024,NJ,HAMILTON,08619
2022,"ABAL TECHNOLOGIES INC",0,0,1,0,54,6024,NJ,TRENTON,08619
2022,"ABARCA TECHNOLOGIES LLC",0,0,1,0,54,5282,PR,"SAN JUAN",00918
2022,"ABATA THERAPEUTICS INC",1,0,0,0,99,1675,MA,CAMBRIDGE,02142
2022,"ABATUS LLC",1,0,0,0,54,3794,AL,BIRMINGHAM,35203
2022,"ABB ENTERPRISE SOFTWARE INC DBA HI",0,0,6,0,22,3443,NC,RALEIGH,27606
2022,"ABB INC",3,0,14,0,33,0018,NC,CARY,27511
2022,"ABBOTT CARDIOVASCULAR SYSTEMS INC",0,0,1,0,32,2062,IL,"ABBOTT PARK",60064
2022,"ABBOTT CARDIOVASCULAR SYSTEMS INC",0,0,1,0,32,2062,IL,"NORTH CHICAGO",60064
2022,"ABBOTT DIABETES CARE INC AN ABBOTT",0,0,6,0,32,7373,IL,"ABBOTT PARK",60064
2022,"ABBOTT DIAGNOSTICS SCARBOROUGH INC",2,0,1,0,32,7302,IL,"ABBOTT PARK",60064
2022,"ABBOTT DIAGNOSTICS SCARBOROUGH INC",0,0,1,0,32,7302,IL,"NORTH CHICAGO",60064
2022,"ABBOTT LABORATORIES",0,0,14,0,32,8440,IL,"ABBOTT PARK",60064
2022,"ABBOTT LABORATORIES",0,0,5,0,32,8440,IL,"NORTH CHICAGO",60064
2022,"ABBVIE BIORESEARCH CTR AN ABBVIE",0,0,2,0,32,7154,IL,"NORTH CHICAGO",60064
2022,"ABBVIE BIOTHERAPEUTICS INC AN",0,0,22,0,32,0657,IL,"NORTH CHICAGO",60064
2022,"ABBVIE INC",2,0,24,0,32,5147,IL,"NORTH CHICAGO",60064
2022,"ABBVIE STEMCENTRX LLC",1,0,1,0,32,2222,IL,"NORTH CHICAGO",60064
2022,"ABBVIE US LLC AN ABBVIE COMPANY",0,0,2,0,32,5709,IL,"NORTH CHICAGO",60064
2022,"ABC SUPPLY CORPORATION INC",0,0,3,0,42,3708,WI,BELOIT,53511
2022,"ABCAM INC",0,0,1,0,99,2607,MA,CAMBRIDGE,02139
2022,"ABCAM INC",0,0,1,0,99,2607,MA,WALTHAM,02453
2022,"ABCLONAL SCIENCE INC",2,0,0,0,54,8496,MA,WOBURN,01801
2022,"ABD SOLUTIONS INC",1,0,4,0,54,5133,VA,CHANTILLY,20151
2022,"ABEL NOSER SOUTIONS LLC",0,0,1,0,51,1633,NY,"NEW YORK",10004
2022,"ABEL NOSER SOUTIONS LLC",0,0,1,0,54,1633,NY,"NEW YORK",10004
2022,"ABERCROMBIE & FITCH MANAGEMENT CO",0,0,2,0,44,8829,OH,"NEW ALBANY",43054
2022,"ABERCROMBIE & FITCH TRADING CO",1,0,2,0,44,8694,OH,"NEW ALBANY",43054
2022,"ABHAY SOLUTIONS INC",2,0,0,0,54,0743,IL,AURORA,60504
2022,"ABHYANTH SOLUTIONS INC",3,0,0,0,54,2636,FL,MIAMI,33126
2022,"ABILENE CHRISTIAN UNIVERSITY",1,0,0,0,61,1900,TX,ABILENE,79601
2022,"ABILITIES PHYSICAL THERAPY INC DBA",1,0,0,0,62,2035,MD,DUNDALK,21222
2022,"ABILITY WORKS REHAB SERVICES LLC",0,0,1,0,62,9059,MI,"FARMINGTON HILLS",48334
2022,"ABINGTON MEMORIAL HOSPITAL",0,0,7,0,62,2152,PA,ABINGTON,19001
2022,"ABIOMED INC",3,0,2,0,33,3260,MA,DANVERS,01923
2022,"ABLETO INC",0,0,3,0,62,8224,NY,"NEW YORK",10018
2022,"ABM CONSTRUCTION CO.",2,0,0,0,55,8714,TX,"EL PASO",79932
2022,"ABM INDUSTRIES INCORPORATED",0,0,1,0,54,9354,NY,"NEW YORK",10006
2022,"ABN AMRO HOLDINGS USA LLC",1,0,0,0,52,7328,NY,"NEW YORK",10017
2022,"ABNORMAL SECURITY CORPORATION",0,0,4,0,54,5983,CA,"SAN FRANCISCO",94107
2022,"ABON PHARMACEUTICALS LLC",0,0,1,0,32,0525,NJ,NORTHVALE,07647
2022,"ABOTTS CONSULTING INC",0,0,1,0,54,5920,CA,IRVINE,92606
2022,"ABOUT INC",0,0,2,0,51,4015,NY,"NEW YORK",10005
2022,"ABOVE AND BEYOND BUS TOOLS AND",0,0,1,0,52,7537,NJ,PRINCETON,08540
2022,"ABOVE AND BEYOND CARE PROVIDERS",1,0,0,0,62,1090,CA,"DIAMOND BAR",91789
2022,"ABOVE GREEN LLC",0,0,1,0,54,3862,VA,MIDDLEBURG,20117
2022,"ABRA INNOVATIONS INC",1,0,0,0,54,9647,CA,"SAN FRANCISCO",94102
2022,"ABRACON HOLDINGS LLC DBA ABRACON L",0,0,1,0,33,6041,CA,"LAGUNA HILLS",92653
2022,"ABRACON LLC",0,0,2,0,33,5033,CA,"LAGUNA HILLS",92653
2022,"ABRAHAM BALDWIN AGRIC COLLEGE",1,0,0,0,61,2070,GA,TIFTON,31793
2022,"ABRIDGE INFO SYSTEMS INC",0,0,4,0,54,0156,MA,CHELMSFORD,01824
2022,"ABS GLOBAL TRADING LIMITED",0,0,1,0,54,0605,CA,"SAN FRANCISCO",94111
2022,"ABSCI CORPORATION",0,0,1,0,54,3487,WA,VANCOUVER,98683
2022,"ABSHER CONSTRUCTION CO",0,0,1,0,23,8333,WA,PUYALLUP,98372
2022,"ABSOLUTDATA TECHNOLOGIES INC",0,0,1,0,54,6420,CA,ALAMEDA,94502
2022,"ABSOLUTE REHABILITATIVE THERAPY INC",0,0,1,0,62,6364,MD,LANHAM,20706
2022,"ABSOLUTE SECURITY INTL INC DBA ABS",1,0,0,0,56,7797,CA,"EL MONTE",91731
2022,"ABSOMAX INC",0,0,1,0,54,0396,MI,NOVI,48375
2022,"ABT ASSOCIATES INC",0,0,2,0,54,7643,MD,ROCKVILLE,20852
2022,"ABZOOBA INC",1,0,0,0,54,0116,CA,MILPITAS,95035
2022,"ACADEMIC MEDICINE SERVICES INC D/B",1,0,0,0,62,5134,NY,AMHERST,14226
2022,"ACADEMIC PARTNERSHIPS LLC",0,0,1,0,92,9059,TX,DALLAS,75201
2022,"ACADEMY DENTAL OF HAMILTON PA",0,0,1,0,62,4013,NJ,TRENTON,08619
2022,"ACADEMY LTD DBA ACADEMY SPORTS OUT",1,0,6,0,45,0067,TX,KATY,77449
2022,"ACADIA HOSPITAL",0,0,1,0,62,9837,ME,BANGOR,04402
2022,"ACADIA TECHNOLOGIES INC",5,0,2,0,54,1942,GA,DULUTH,30097
2022,"ACADIAN ASSET MANAGEMENT LLC",0,0,7,0,52,9221,MA,BOSTON,02110
2022,"ACADIASOFT INC",0,0,1,0,52,8757,MA,NORWELL,02061
2022,"ACCELA INC",0,0,1,0,54,7678,CA,"SAN RAMON",94583
2022,"ACCELALPHA INC",0,0,4,0,54,1177,WA,BELLEVUE,98005
2022,"ACCELERANT SOFTWARE INC",0,0,3,0,54,3402,CA,"FOOTHILL RANCH",92610
2022,"ACCELERIZE 360 INC",0,0,2,0,54,3122,TX,DALLAS,75201
2022,"ACCELERON PHARMA INC",1,0,0,0,99,2226,MA,CAMBRIDGE,02139
2022,"ACCELIRATE INC",1,0,1,0,54,1273,FL,SUNRISE,33325
2022,"ACCELL GLOBAL RISK SOLUTIONS INC",1,0,2,0,54,3229,CA,"SAN JOSE",95113
2022,"ACCELON INC",1,0,0,0,54,5462,CA,ENCINO,91426
2022,"ACCENT THERAPEUTICS INC",0,0,1,0,99,8381,MA,LEXINGTON,02421
2022,"ACCENTUATE IT SOLUTIONS LLC",3,0,1,0,54,3210,VA,HERNDON,20171
2022,"ACCENTUATE STAFFING INC",0,0,1,0,56,1632,NC,RALEIGH,27612
2022,"ACCENTURE LLP",0,0,1,0,54,2904,IL,CHICAGO,60601
2022,"ACCENTURE LLP",198,3,290,7,54,2904,IL,CHICAGO,60601
2022,"ACCENTURE LLP",0,0,1,0,54,2904,IL,CHICAGO,60601
2022,"ACCENTURE LLP DBA IMAGINEA TECH",2,0,0,0,54,9204,IL,CHICAGO,60601
2022,"ACCESS CAREERS TRAINING INC",0,0,1,0,92,0079,NY,BROOKLYN,11201
2022,"ACCESS CLINICAL PARTNERS LLC",1,0,0,0,62,1513,GA,ATLANTA,30342
2022,"ACCESS DATA CONSULTING CORPORATION",0,0,2,0,54,1756,CO,"GREENWOOD VILLAGE",80111
2022,"ACCESS DENTAL MANAGEMENT LLC DBA A",0,0,1,0,62,0647,TX,IRVING,75063
2022,"ACCESS FINTECH INC",0,0,1,0,54,3607,NY,"NEW YORK",10013
2022,"ACCESS GLOBAL GROUP INC",0,0,2,0,54,6784,TX,SOUTHLAKE,76092
2022,"ACCESS PHYSICAL THERAPY LLC",0,0,1,0,62,5300,NY,"CAMPBELL HALL",10916
2022,"ACCESSIBLE PHYSICAL THERAPY",2,0,0,0,62,6609,MD,"GLEN BURNIE",21061
2022,"ACCION INTERNATIONAL",1,0,0,0,52,5763,DC,WASHINGTON,20005
2022,"ACCION LABS US INC",3,0,3,0,54,7982,PA,BRIDGEVILLE,15017
2022,"ACCIONA ENERGY USA GLOBAL LLC",0,0,2,0,22,4628,IL,CHICAGO,60603
2022,"ACCLAIM SYSTEMS INC",3,0,3,0,54,2176,PA,"FEASTERVILLE TREVOSE",19053
2022,"ACCOLADE INC",0,0,5,0,62,9591,PA,"PLYMOUTH MEETING",19462
2022,"ACCOLITE DIGITAL LLC",3,0,4,0,54,3831,TX,ADDISON,75001
2022,"ACCORD SOFTWARE LLC",1,0,0,0,54,0903,NY,ALBANY,12207
2022,"ACCORDION PARTNERS LLC",0,0,2,0,54,9427,NY,"NEW YORK",10017
2022,"ACCOUNTING ASSOCIATES DC LLC",1,0,0,0,54,4954,DC,WASHINGTON,20036
2022,"ACCRETE HITECH SOLUTIONS INC",1,0,1,0,54,4350,CA,"SANTA CLARA",95054
2022,"ACCRUALIFY INC",1,0,0,0,54,4790,CA,"SAN MATEO",94401
2022,"ACCRUENT LLC",1,0,0,0,54,3889,TX,AUSTIN,78758
2022,"ACCUITY INC",0,0,1,0,51,9625,GA,ALPHARETTA,30005
2022,"ACCUITY INC",0,0,5,0,56,9625,GA,ALPHARETTA,30005
2022,"ACCUPATH DIAGNOSTIC LABORATORIES I",0,0,1,0,62,1972,NC,BURLINGTON,27215
2022,"ACCURANT BIOTECH INC",0,0,1,0,54,6293,NJ,CRANBURY,08512
2022,"ACCURATE BACKGROUND LLC",0,0,2,0,51,6904,CA,IRVINE,92618
2022,"ACCURATE CORPORATION DBA JUMPIN JA",0,0,1,0,44,2780,KY,OWENSBORO,42301
2022,"ACCURATE GROUP INC",1,0,0,0,54,6030,IL,LINCOLNSHIRE,60069
2022,"ACCURATE PERFORATING COMPANY",0,0,1,0,33,5799,IL,CHICAGO,60632
2022,"ACCUWEATHER INC",0,0,1,0,54,1071,PA,"STATE COLLEGE",16803
2022,"ACCUWEATHER SALES & SERVICE LLC",0,0,1,0,54,8264,PA,"STATE COLLEGE",16803
2022,"ACE AMERICAN INSURANCE CO CHUBB",0,0,14,0,52,1728,PA,PHILADELPHIA,19106
2022,"ACE DENTAL GROUP LLC",0,0,1,0,62,2943,MA,"SOUTH WEYMOUTH",02190
2022,"ACE HOME CARE NETWORK INC",0,0,1,0,62,8178,MI,"MADISON HEIGHTS",48071
2022,"ACE INFO SOLUTIONS INC",0,0,1,0,54,4785,VA,RESTON,20191
2022,"ACE TECHNOLOGIES INC",0,0,1,0,54,2576,CA,"SAN JOSE",95131
2022,"ACEABLE INC",0,0,1,0,54,5061,TX,AUSTIN,78701
2022,"ACELERO INC DBA ACELERO LEARNING",1,0,0,0,62,7025,NY,"NEW YORK",10018
2022,"ACENTLE INC",2,0,0,0,54,0912,VA,HERNDON,20171
2022,"ACEQUEST CORPORATION",1,0,0,0,54,3250,NJ,PISCATAWAY,08854
2022,"ACERAND THERAPEUTICS USA LIMITED",0,0,1,0,99,8663,IN,CARMEL,46032
2022,"ACES INSTITUTE LLC",1,0,0,0,61,8835,WA,BELLEVUE,98006
2022,"ACETECH GROUP CORPORATION",3,0,2,0,54,9621,MD,COLUMBIA,21044
2022,"ACETECH GROUP CORPORATION",1,0,2,0,54,9621,MD,FULTON,20759
2022,"ACG LLP",0,0,1,0,54,2404,CA,PLEASANTON,94588
2022,"ACHIEVA IT INC",1,0,1,0,54,6228,GA,ALPHARETTA,30005
2022,"ACHIEVEMENT FIRST BROOKLYN CHARTER",1,0,0,0,61,8947,CT,"NEW HAVEN",06513
2022,"ACHIEVEMENT FIRST INC",0,0,2,0,55,3744,CT,"NEW HAVEN",06513
2022,"ACHRONIX SEMICONDUCTOR CORP",0,0,2,0,33,2651,CA,"SANTA CLARA",95054
2022,"ACI GIFT CARDS LLC",1,0,0,0,45,9870,WA,SEATTLE,98121
2022,"ACI INFOTECH INC",3,0,6,0,54,0269,NJ,PISCATAWAY,08854
2022,"ACI MECHANICAL INC",0,0,1,0,23,9303,IA,AMES,50014
2022,"ACI WORLDWIDE CORP",0,0,1,0,54,7215,NE,ELKHORN,68022
2022,"ACIES ENGINEERING INC",0,0,1,0,54,3971,CA,MILPITAS,95035
2022,"ACILON CONSULTING LLC",0,0,1,0,54,5259,CA,"LOS ALTOS",94022
2022,"ACITLABS LLC",1,0,0,0,54,4911,WA,KIRKLAND,98033
2022,"ACKER MERRALL & CONDIT CO",1,0,0,0,44,2134,NY,"NEW YORK",10023
2022,"ACLARA TECHNOLOGIES LLC",0,0,1,0,33,6600,MO,"SAINT LOUIS",63143
2022,"ACLARA TECHNOLOGIES LLC",0,0,1,0,33,6600,MO,"SAINT LOUIS",63146
2022,"ACM GROUP INC DBA ATLANTIC-ACM",0,0,1,0,54,5138,MA,BOSTON,02109
2022,"ACME INTERNATIONAL LLC",0,0,0,1,42,7959,FL,MIAMI,33156
2022,"ACME SMOKED FISH CORP",0,0,1,0,31,3080,NY,BROOKLYN,11222
